2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty NOK: Kupno: 0.284, Sprzedaż: 0.368
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty NPR: Kupno: 0.0202, Sprzedaż: 0.0375
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty NZD: Kupno: 2.413, Sprzedaż: 2.734
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty OMR: Kupno: 10.1, Sprzedaż: 12.3
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty PEN: Kupno: 1.113, Sprzedaż: 1.29
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty PHP: Kupno: 0.0625, Sprzedaż: 0.0938
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty QAR: Kupno: 1.012, Sprzedaż: 1.188
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty RON: Kupno: 0.833, Sprzedaż: 0.968
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty RSD: Kupno: 0.0373, Sprzedaż: 0.0452
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty RUB: Kupno: 0.0356, Sprzedaż: 0.0498
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty SAR: Kupno: 1.013, Sprzedaż: 1.183
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty SCP: Kupno: 4.26, Sprzedaż: 5.01
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty SCR: Kupno: 0.283, Sprzedaż: 0.432
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty SEK: Kupno: 0.363, Sprzedaż: 0.389
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty SGD: Kupno: 2.954, Sprzedaż: 3.185
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty THB: Kupno: 0.1165, Sprzedaż: 0.1355
2024-01-12 13:40:52 INFO  ApiCur:108 - pobrano dane waluty TMB: Kupno: 0.114, Sprzedaż: 0.1352
